show_id,director_id
s2005,1280
s2006,1281
s2008,1282
s2011,1283
s2012,1284
s2015,1285
s2016,1286
s2017,1287
s2018,1288
s2019,1288
s2020,1289
s2021,1290
s2023,1291
s2024,1292
s2025,649
s2026,1293
s2027,1294
s2028,1295
s2028,1296
s2029,1297
s2030,375
s2031,1298
s2032,1299
s2034,1300
s2035,1301
s2036,1302
s2037,1303
s2039,1304
s2039,1305
s2040,1306
s2042,1307
s2044,1308
s2046,1309
s2047,495
s2049,1310
s2050,458
s2051,1311
s2051,1312
s2052,1313
s2053,1314
s2056,1315
s2057,1316
s2058,1317
s2060,1318
s2061,1168
s2062,1319
s2066,1320
s2068,1321
s2072,1322
s2073,1323
s2075,1324
s2076,1325
s2077,1326
s2077,1327
s2077,1328
s2078,1329
s2080,63
s2081,1330
s2082,1331
s2082,1332
s2083,1333
s2084,1334
s2085,1335
s2088,1336
s2088,1337
s2089,1338
s2091,1339
s2092,1340
s2093,1341
s2095,1342
s2096,1343
s2101,1344
s2104,1345
s2105,1346
s2108,1347
s2109,1348
s2111,1349
s2112,93
s2115,51
s2116,1350
s2117,1351
s2118,1352
s2120,1353
s2121,1354
s2122,1355
s2127,675
s2129,1356
s2130,1357
s2131,1358
s2132,766
s2133,1359
s2133,1360
s2138,1361
s2139,1273
s2140,1273
s2142,1362
s2143,404
s2144,1363
s2147,1364
s2148,1115
s2150,1365
s2151,1366
s2155,1367
s2156,981
s2160,1368
s2162,1369
s2164,1370
s2165,1371
s2167,18
s2167,17
s2168,1372
s2170,991
s2172,1373
s2173,1374
s2177,469
s2178,532
s2180,1375
s2183,1376
s2184,1377
s2186,1378
s2186,1379
s2187,1380
s2188,1381
s2188,1382
s2189,1383
s2192,1384
s2194,1385
s2195,1386
s2196,1387
s2197,1388
s2198,1389
s2199,1390
s2200,1391
s2201,1392
s2203,1393
s2205,1394
s2206,1395
s2207,1396
s2208,1397
s2208,1398
s2209,1076
s2209,1077
s2210,1399
s2211,1400
s2212,1401
s2214,191
s2215,1402
s2216,1403
s2217,1404
s2220,1405
s2220,1406
s2221,1407
s2222,1408
s2222,1409
s2225,1410
s2229,1411
s2229,1412
s2232,1413
s2232,1414
s2233,1415
s2234,1416
s2235,182
s2240,1417
s2241,1418
s2243,1419
s2244,1420
s2245,1421
s2245,1422
s2246,1423
s2248,1424
s2249,1425
s2251,1426
s2252,1427
s2253,56
s2257,1428
s2258,1429
s2258,1430
s2260,1431
s2261,1432
s2261,1433
s2262,1434
s2263,1435
s2263,1436
s2264,1437
s2265,1438
s2266,1439
s2267,1440
s2268,1088
s2268,147
s2268,1441
s2268,1442
s2269,1443
s2270,1444
s2271,146
s2272,1445
s2273,1446
s2274,1447
s2275,1448
s2276,1449
s2277,1222
s2278,1450
s2279,1451
s2280,846
s2281,1286
s2282,1452
s2283,1453
s2284,1454
s2285,1455
s2286,1456
s2286,1457
s2287,1458
s2288,1459
s2289,199
s2290,1460
s2291,1461
s2292,1462
s2295,1463
s2296,1464
s2297,1465
s2301,1466
s2303,1467
s2303,1468
s2305,1469
s2305,1470
s2308,1471
s2309,1472
s2310,1473
s2311,850
s2312,1474
s2313,1473
s2315,583
s2316,1475
s2317,1476
s2317,1477
s2318,1478
s2320,1479
s2322,789
s2324,1480
s2325,1464
s2326,1481
s2327,1482
s2329,1483
s2331,1484
s2333,1485
s2334,1486
s2337,1482
s2339,1487
s2340,1488
s2341,1488
s2342,1489
s2342,1490
s2343,1491
s2345,1492
s2346,1493
s2348,1494
s2349,1495
s2351,1496
s2351,1497
s2352,1498
s2354,1499
s2355,358
s2357,1500
s2359,1501
s2361,647
s2362,358
s2364,1502
s2365,1503
s2365,1504
s2366,358
s2367,358
s2368,358
s2369,358
s2370,358
s2371,1505
s2372,1486
s2373,1506
s2374,358
s2375,1507
s2376,358
s2377,358
s2378,1508
s2380,1509
s2381,1510
s2382,1480
s2383,1511
s2386,1512
s2387,1226
s2388,1495
s2390,1513
s2392,822
s2392,1514
s2393,1515
s2394,92
s2398,1516
s2399,1517
s2403,1518
s2404,1519
s2406,452
s2408,1520
s2411,717
s2412,1521
s2413,1522
s2413,1523
s2414,1524
s2414,1525
s2415,1526
s2417,1527
s2419,1528
s2420,1529
s2421,1088
s2422,182
s2424,1530
s2425,15
s2428,1531
